Memory_GB,Page_Size,Method,Mean_ms,StdDev_ms,P99_ms,Min_ms,Max_ms,PF_User,PF_Kernel,PF_Total,TLB_Total,TLB_RemoteShootdown,TLB_LocalShootdown,TLB_LocalMM,TLB_RemoteIPI,TLB_TaskSwitch,HW_Cycles,HW_Instructions,HW_CacheRefs,HW_CacheMisses,HW_BranchMisses,SW_PageFaults
1,4KB,fork,6.741486,0.559660,11.615301,6.148809,11.615301,11.04,2.05,13.09,11.65,0.00,0.00,8.03,2.65,0.97,34697629,47870959,1058508,389912,5607,7
1,4KB,fork_cow,359.362675,1.305901,365.520422,356.446105,365.520422,262155.03,3.00,262158.03,262160.70,0.00,0.00,262151.00,8.07,1.63,85281434201,87575817352,1894531828,1796646600,8240543,13238831
1,4KB,vfork,0.032084,0.026116,0.197481,0.019416,0.197481,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,717438,575018,24351,3348,3023,0
1,4KB,posix_spawn,0.126501,0.090198,0.490654,0.033459,0.490654,49.85,2.96,52.81,15.91,0.00,0.00,13.00,0.89,2.02,11394862,10744310,434784,59173,64122,211
1,2MB,fork,0.281582,0.072529,0.704376,0.166608,0.704376,11.03,2.00,13.03,9.10,0.00,0.00,8.03,0.14,0.93,1486323,1772779,78725,34105,3671,50
1,2MB,fork_cow,8.773495,0.450202,12.153423,8.408589,12.153423,523.03,3.00,526.03,1033.09,0.00,0.00,1031.00,0.98,1.11,854311587,1205543914,19513641,5889667,128525,26415
1,2MB,vfork,0.032785,0.017730,0.162993,0.023191,0.162993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,857520,764840,29948,7879,3826,0
1,2MB,posix_spawn,0.130352,0.083117,0.477943,0.045153,0.477943,49.97,2.92,52.89,16.50,0.00,0.00,13.00,1.47,2.03,11916298,10495492,416896,57808,64933,223
2,4KB,fork,13.718662,0.657106,20.020826,13.432848,20.020826,11.03,2.08,13.11,14.16,0.00,0.00,8.03,5.23,0.90,70429622,95424454,1657551,985219,6103,8
2,4KB,fork_cow,691.891519,2.771147,700.648694,686.324752,700.648694,524299.03,3.00,524302.03,524296.69,0.00,0.00,524295.00,0.14,1.55,165709190244,175356802888,3643028517,3492687386,16833474,26477103
2,4KB,vfork,0.038154,0.051867,0.333092,0.019053,0.333092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,730637,613424,22406,4199,3466,0
2,4KB,posix_spawn,0.111959,0.078272,0.377417,0.033975,0.377417,50.00,2.93,52.93,15.60,0.00,0.00,13.00,0.62,1.98,11349156,10034466,385125,55322,65447,176
2,2MB,fork,0.486189,0.110739,1.204110,0.287707,1.204110,11.03,2.00,13.03,9.02,0.00,0.00,8.03,0.06,0.93,2520469,2608162,124933,44775,3863,41
2,2MB,fork_cow,17.742694,0.471906,20.235377,16.818697,20.235377,1035.03,3.00,1038.03,2056.83,0.00,0.00,2055.00,0.61,1.22,1727067880,2405163694,38447463,19920745,213634,52271
2,2MB,vfork,0.032195,0.022009,0.214943,0.019713,0.214943,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,987709,676370,30322,7460,3845,0
2,2MB,posix_spawn,0.118721,0.060914,0.330790,0.055314,0.330790,50.08,2.83,52.91,15.89,0.00,0.00,13.00,0.86,2.03,10926364,9315112,430280,57127,61012,134
4,4KB,fork,21.715382,0.988186,31.182032,21.140020,31.182032,11.03,2.07,13.10,14.17,0.00,0.00,8.03,5.22,0.92,110242246,190500905,2381163,1776491,9023,9
4,4KB,fork_cow,1365.169855,3.412843,1380.650440,1355.085942,1380.650440,1048587.03,3.00,1048590.03,1048607.46,0.00,0.00,1048583.00,22.55,1.91,328982829325,363658609455,7157780991,6880605765,36224447,52953647
4,4KB,vfork,0.026718,0.026782,0.261782,0.016152,0.261782,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,582583,607754,24111,4135,3491,0
4,4KB,posix_spawn,0.093074,0.074600,0.410421,0.031057,0.410421,49.97,2.91,52.88,15.45,0.00,0.00,13.00,0.45,2.00,9174641,9417644,320955,55764,46089,113
4,2MB,fork,0.955455,0.182311,2.001541,0.642242,2.001541,11.03,2.04,13.07,9.31,0.00,0.00,8.03,0.30,0.98,4778252,4867837,210458,70273,5043,17
4,2MB,fork_cow,35.663579,0.850759,39.733176,34.710310,39.733176,2059.03,3.00,2062.03,4105.95,0.00,0.00,4103.00,0.54,2.41,3460115187,4804758859,75646800,53709930,357189,103983
4,2MB,vfork,0.029220,0.018377,0.146188,0.019539,0.146188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,663740,597157,24508,4217,3291,0
4,2MB,posix_spawn,0.101066,0.081057,0.550457,0.034865,0.550457,50.01,2.86,52.87,15.71,0.00,0.00,13.00,0.69,2.02,11086942,10037423,427056,67409,62411,175
8,4KB,fork,36.264902,1.944815,55.262375,35.467440,55.262375,11.03,2.26,13.29,22.84,0.00,0.00,8.03,13.77,1.04,182075244,380484905,3775412,2953406,13503,7
8,4KB,fork_cow,1617.074958,344.920908,4641.000861,1514.697131,4641.000861,1006356.28,3.34,1006359.62,1007820.65,17.29,0.07,1006355.12,1424.67,23.50,372726498774,479434985162,7288029404,6869841011,64065423,51299978
8,4KB,vfork,0.029376,0.028839,0.284250,0.016921,0.284250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,551458,579421,23813,3429,3017,0
8,4KB,posix_spawn,0.126395,0.278037,2.796086,0.030812,2.796086,49.97,2.90,52.87,15.89,0.00,0.00,12.99,0.86,2.04,11350748,11849537,396458,73984,58360,147
8,2MB,fork,2.029034,0.290569,2.732177,1.451632,2.732177,11.04,2.01,13.05,9.32,0.00,0.00,8.04,0.22,1.06,10170119,9161878,372959,184822,5876,13
8,2MB,fork_cow,71.442402,2.276618,86.082776,69.859281,86.082776,4107.03,3.00,4110.03,8203.20,2.20,0.00,8199.00,0.12,1.88,6926915861,9603582057,151198209,121133878,647556,207407
8,2MB,vfork,0.028624,0.014593,0.109891,0.019578,0.109891,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,675448,777806,26292,6249,3490,0
8,2MB,posix_spawn,0.101251,0.069129,0.381918,0.031844,0.381918,49.85,2.94,52.79,15.39,0.00,0.00,13.01,0.39,1.99,10510124,9533261,401636,55960,53372,134
