Memory_GB,Page_Size,Method,Mean_ms,StdDev_ms,P99_ms,Min_ms,Max_ms,PF_User,PF_Kernel,PF_Total,TLB_Total,TLB_RemoteShootdown,TLB_LocalShootdown,TLB_LocalMM,TLB_RemoteIPI,TLB_TaskSwitch,HW_Cycles,HW_Instructions,HW_CacheRefs,HW_CacheMisses,HW_BranchMisses,SW_PageFaults
1,4KB,fork,3.395743,0.279789,5.935010,3.082258,5.935010,10.04,2.00,12.04,10.96,0.00,0.00,8.03,1.98,0.95,17353692,47866443,408057,42500,6565,12
1,4KB,vfork,0.031165,0.034573,0.249278,0.018024,0.249278,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,670854,589649,26317,4117,3233,0
1,4KB,posix_spawn,0.065907,0.043599,0.228846,0.031361,0.228846,50.00,2.92,52.92,15.31,0.00,0.00,13.00,0.29,2.02,8701251,8936486,331924,53838,45832,89
1,2MB,fork,0.266562,0.059068,0.495501,0.118714,0.495501,10.03,2.00,12.03,9.06,0.00,0.00,8.03,0.07,0.96,1383856,1502371,70442,27296,3602,35
1,2MB,vfork,0.030046,0.018637,0.201268,0.021912,0.201268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,689409,650729,23046,4501,2707,0
1,2MB,posix_spawn,0.096938,0.074821,0.408742,0.031428,0.408742,49.99,2.97,52.96,15.69,0.00,0.00,13.00,0.69,2.00,10889123,9587566,373943,55338,55841,163
2,4KB,fork,7.013161,0.569265,12.363632,6.648820,12.363632,10.03,2.09,12.12,11.67,0.00,0.00,8.04,2.59,1.04,35549159,95382124,756289,303965,7285,10
2,4KB,vfork,0.027681,0.022536,0.235173,0.018504,0.235173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,778902,595521,25520,4395,3259,0
2,4KB,posix_spawn,0.098590,0.067422,0.316234,0.032942,0.316234,49.93,2.99,52.92,15.37,0.00,0.00,13.00,0.37,2.00,10413353,10150703,383655,56663,58174,177
2,2MB,fork,0.442965,0.097726,0.920755,0.270207,0.920755,10.03,2.00,12.03,9.05,0.00,0.00,8.03,0.11,0.91,2315914,2626426,121952,39852,4306,47
2,2MB,vfork,0.026746,0.021284,0.216530,0.018500,0.216530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,593156,650888,27354,4402,2586,0
2,2MB,posix_spawn,0.101420,0.076213,0.551591,0.031243,0.551591,50.00,2.96,52.96,15.38,0.00,0.00,13.00,0.36,2.02,10114947,9127534,440550,66128,53108,121
4,4KB,fork,14.253262,0.929513,23.126530,13.719692,23.126530,10.03,2.04,12.07,14.92,0.00,0.00,8.03,5.93,0.96,71700628,190352960,1423430,965633,8559,5
4,4KB,vfork,0.030254,0.038952,0.283393,0.016218,0.283393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,532717,576657,24166,3929,2976,0
4,4KB,posix_spawn,0.103937,0.077217,0.489033,0.031538,0.489033,50.12,2.91,53.03,15.41,0.00,0.00,13.00,0.39,2.02,10969644,9678434,413220,59673,59322,154
4,2MB,fork,0.929508,0.147614,1.745939,0.629868,1.745939,10.03,2.01,12.04,9.11,0.00,0.00,8.03,0.20,0.88,4664024,4715231,206605,63205,5142,27
4,2MB,vfork,0.035849,0.052652,0.307549,0.016483,0.307549,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,615360,614225,26664,3690,3578,0
4,2MB,posix_spawn,0.097125,0.066484,0.346750,0.033875,0.346750,50.01,2.84,52.85,15.75,0.00,0.00,13.00,0.74,2.01,9541049,8741902,401698,54111,51619,89
8,4KB,fork,28.388077,1.733961,44.934723,27.217025,44.934723,10.03,2.19,12.22,12.20,0.00,0.00,8.03,2.85,1.32,141870316,380416283,2785265,2210573,13473,6
8,4KB,vfork,0.027535,0.025427,0.255658,0.016469,0.255658,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,627239,578894,25097,3931,3146,0
8,4KB,posix_spawn,0.093962,0.078868,0.382765,0.031463,0.382765,49.99,2.93,52.92,15.53,0.00,0.00,13.00,0.53,2.00,10704560,9782562,369732,58838,57239,143
8,2MB,fork,1.839754,0.189311,3.037886,1.503910,3.037886,10.03,2.06,12.09,9.06,0.00,0.00,8.03,0.31,0.72,9261592,8923634,375602,133400,4659,26
8,2MB,vfork,0.030582,0.029266,0.258641,0.018081,0.258641,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,886986,638516,31074,5276,4207,0
8,2MB,posix_spawn,0.112572,0.083036,0.404230,0.032455,0.404230,49.98,2.94,52.92,15.69,0.00,0.00,13.00,0.69,2.00,10504705,9982449,343060,60488,56541,160
